Name,Location,Type of Bin Placed,Postal Code
Ang Mo Kio CC,Ang Mo Kio Avenue 1,"3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"1 Harbourfront Walk, Vivocity, #2-07","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"3155 Commonwealth Avenue West, The Clementi Mall, #04-46/47/48/49","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"68 Orchard Road, Plaza Singapura, #3-39","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"2 Jurong East Street 21, IMM, #3-33","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"63 Jurong West Central 3, Jurong Point, #B1-92","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"109 North Bridge Road, Funan, #3-16","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"1 Kim Seng Promenade, Great World City, #07-01","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"391A Orchard Road, Ngee Ann City Tower A","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"9 Bishan Place, Junction 8 Shopping Centre, #03-02","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"17 Petir Road, Hillion Mall, #B1-65","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"83 Punggol Central, Waterway Point","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,"311 New Upper Changi Road, Bedok Mall","3-in-1 Bin (ICT, Bulb, Battery)",
Best Denki,80 Marine Parade Road #03 - 29 / 30 Parkway Parade Complex,"3-in-1 Bin (ICT, Bulb, Battery)",
Bugis Junction Towers,230 Victoria Street,"3-in-1 Bin (ICT, Bulb, Battery)",
Bukit Merah CC,4000 Jalan Bukit Merah,"3-in-1 Bin (ICT, Bulb, Battery)",
Bukit Panjang CC,8 Pending Rd,"3-in-1 Bin (ICT, Bulb, Battery)",
Cash Converters,135 Jurong Gateway Road,"3-in-1 Bin (ICT, Bulb, Battery)",
Cash Converters,510 Tampines Central 1,"3-in-1 Bin (ICT, Bulb, Battery)",
Cash Converters,"Lor 4 Toa Payoh, Blk 192, #01-674","3-in-1 Bin (ICT, Bulb, Battery)",
Cash Converters,"Ang Mo Kio Ave 8, Blk 710A, #01-2625","3-in-1 Bin (ICT, Bulb, Battery)",
Causeway Point,1 Woodlands Square,"3-in-1 Bin (ICT, Bulb, Battery)",
Central Plaza,298 Tiong Bahru Rd,"3-in-1 Bin (ICT, Bulb, Battery)",
