Name,Location,Type of Bin Placed,Postal Code
Fairprice,"1 Harbourfront Walk, VivoCity, #B2-23","3-in-1 Bin (ICT, Bulb, Battery)",098585
Fairprice,"63 Jurong West Central 3, Jurong Point, #03-01","3-in-1 Bin (ICT, Bulb, Battery)",648331
Fairprice,"8 Changi Business Park Ave 1, #01-51 & #02-51","3-in-1 Bin (ICT, Bulb, Battery)",486018
Fairprice,"1 Hougang St 91, Hougang 1, #2-01","3-in-1 Bin (ICT, Bulb, Battery)",538692
Fairprice,"23 Serangoon Central, NEX Mall, #03-42","3-in-1 Bin (ICT, Bulb, Battery)",556083
Fairprice,"1 Stadium Place Level 1, Wave Mall, #01-29","3-in-1 Bin (ICT, Bulb, Battery)",397628
Fairprice,"80 Marine Parade Rd, Parkway Parade, #3-28","3-in-1 Bin (ICT, Bulb, Battery)",449269
Fairprice,"53 Ang Mo Kio Ave 3, Ang Mo Kio Hub, #B2-40   ","3-in-1 Bin (ICT, Bulb, Battery)",569933
Fairprice,"900 South Woodlands Drive, Woodlands Civic Centre, #B1-01  ",Battery and Bulb Bin,730900
Fairprice,"Blk 888 Woodlands Dr 50, #01-757  ",Battery and Bulb Bin,730888
Fairprice,"Blk 676 Woodlands Dr 71, Kampung Admiralty, #B1-02  ",Battery and Bulb Bin,731676
Fairprice,"71 Woodlands Ave 3, Marsling MRT, #01-01  ",Battery and Bulb Bin,739044
Fairprice,"Blk 712 Ang Mo Kio Ave 6, Blk 712 Ang Mo Kio, #01-4056  ",Battery and Bulb Bin,560712
Fairprice,"Blk 510 Bishan St 13, #01-520",Battery and Bulb Bin,570510
Fairprice,"Tanjong Pagar Plaza, #01-01  ",Battery and Bulb Bin,081005
Fairprice,"166 Bukit Merah Central, #01-3531 & 02-3531  ",Battery and Bulb Bin,150166
Fairprice,"Blk 57 Dawson Rd, Dawson Place, #01-07  ",Battery and Bulb Bin,142057
Fairprice,"Blk 50 Havelock Rd, Blk 50 Havelock Rd, #01-755  ",Battery and Bulb Bin,160050
Fairprice,"460 Alexandra Rd ,460 Alexandra Rd, #01-09 and #01-16  ",Battery and Bulb Bin,119963
Fairprice,"1 Lower Kent Ridge Rd, NUH Medical Centre, #02-16  ",Battery and Bulb Bin,119082
Fairprice,"Blk 108 Depot Rd, Depot Heights Shopping Centre, #01-01  ",Battery and Bulb Bin,100108
Fairprice,"Blk 36 Holland Dr, Blk 36 Holland Dr, #01-03/04/05  ",Battery and Bulb Bin,270036
Fairprice,"Blk 28 Dover Crescent, Blk 28 Dover Crescent, #01-83  ",Battery and Bulb Bin,130028
Fairprice,"Blk 451 Clementi Ave 3, Blk 451 Ave 3, #01-307  ",Battery and Bulb Bin,120451
Fairprice,"Blk 399 Yung Sheng Rd, Taman Jurong Shopping Centre, #01-35  ",Battery and Bulb Bin,610399
Fairprice,"Blk 63/66 Yung Kuang Rd, Blk 66 Yung Kang Rd, #01-119 & #02-119  ",Battery and Bulb Bin,610063
Fairprice,"Blk 221 Boon Lay Place, Boon Lay Shopping Centre, #02-200  ",Battery and Bulb Bin,640221
Fairprice,"No. 1 Jurong West Central 2, Jurong Point 1, #B1-09  ",Battery and Bulb Bin,648886
Fairprice,"Blk 502 West Coast Dr, Blk 502 West Coast Dr, #01-41  ",Battery and Bulb Bin,120502
Fairprice,"17 Petir Rd, Hillion Mall, #B2-67  ",Battery and Bulb Bin,678278
Fairprice,"21 Choa Chu Kang Ave 4, Lot 1 Shoppers' Mall, #B1-03  ",Battery and Bulb Bin,689812
Fairprice,"21 Choa Chu Kang North 6, Yew Tee Point, #B1-01  ",Battery and Bulb Bin,689578
Fairprice,"Blk 135 Jurong Gateway Rd, #01-337  ",Battery and Bulb Bin,600135
Fairprice,"2 Bukit Batok West Ave 7, HomeTeam NS Bukit Batok Clubhouse, #01-10",Battery and Bulb Bin,659003
Fairprice,"Blk 628 Senja Rd, Senja Grand, #01-01  ",Battery and Bulb Bin,670628
Fairprice,"Blk 140 Teck Whye Lane, #01-351  ",Battery and Bulb Bin,680140
Fairprice,"10 Bukit Batok Central, #01-08  ",Battery and Bulb Bin,659958
Fairprice,"Blk 345 Jurong East St 31, #01-29  ",Battery and Bulb Bin,600345
Fairprice,"9 Bishan Place, Junction 8 Shopping Centre, #B1-01  ",Battery and Bulb Bin,579837
Fairprice,"No. 1 Jelebu Rd, Bukit Panjang Plaza, #01-15 & #02-20  ",Battery and Bulb Bin,677743
Fairprice,"61 Choa Chu Kang Dr, Yew Tee MRT Station, #01-01  ",Battery and Bulb Bin,689715
